node_id,osm_node_id,x_coord,y_coord,longitude,latitude,activity_type,is_boundary,zone_id
12896,42727188,-73.8366014,40.8443997,-73.8366014,40.8443997,node,0,-1
12897,42727297,-73.9042612,40.8763989,-73.9042612,40.8763989,node,0,-1
12898,42727302,-73.9039476,40.8781869,-73.9039476,40.8781869,node,0,-1
12899,42727354,-73.8720451,40.824636,-73.8720451,40.824636,node,0,-1
12900,42727425,-73.9172176,40.8559224,-73.9172176,40.8559224,node,0,-1
12901,42727690,-73.8111909,40.8226229,-73.8111909,40.8226229,node,0,-1
12902,42727691,-73.810975,40.822354,-73.810975,40.822354,node,0,-1
12903,42727698,-73.898086,40.8502198,-73.898086,40.8502198,node,0,-1
12904,42727704,-73.8977574,40.850029,-73.8977574,40.850029,node,0,-1
12905,42727717,-73.8830299,40.8665243,-73.8830299,40.8665243,node,0,-1
12906,42727720,-73.8823032,40.8663845,-73.8823032,40.8663845,node,0,-1
12907,42727735,-73.8758879,40.8683658,-73.8758879,40.8683658,node,0,-1
12908,42727864,-73.8713486,40.8365565,-73.8713486,40.8365565,node,0,-1
12909,42727876,-73.8737721,40.8300217,-73.8737721,40.8300217,node,0,-1
12910,42727881,-73.8743313,40.8341911,-73.8743313,40.8341911,node,0,-1
12911,42727929,-73.8317564,40.8659053,-73.8317564,40.8659053,node,0,-1
12912,42727937,-73.8305688,40.8582847,-73.8305688,40.8582847,node,0,-1
12913,42727945,-73.8552338,40.8314356,-73.8552338,40.8314356,node,0,-1
12914,42727953,-73.8556318,40.832042,-73.8556318,40.832042,node,0,-1
12915,42727980,-73.8269514,40.8825445,-73.8269514,40.8825445,node,0,-1
12916,42728054,-73.8161285,40.826902,-73.8161285,40.826902,node,0,-1
12917,42728078,-73.8224166,40.8242976,-73.8224166,40.8242976,node,0,-1
12918,42728084,-73.8256218,40.8253422,-73.8256218,40.8253422,node,0,-1
12919,42728159,-73.9286686,40.8398342,-73.9286686,40.8398342,node,0,-1
12920,42728181,-73.8849181,40.8786406,-73.8849181,40.8786406,node,0,-1
12921,42728192,-73.9213646,40.8471953,-73.9213646,40.8471953,node,0,-1
12922,42728196,-73.9220462,40.8477055,-73.9220462,40.8477055,node,0,-1
12923,42728204,-73.8900496,40.8889165,-73.8900496,40.8889165,node,0,-1
12924,42728219,-73.8380106,40.8394939,-73.8380106,40.8394939,node,0,-1
12925,42728223,-73.8372799,40.8400125,-73.8372799,40.8400125,node,0,-1
12926,42728296,-73.8380971,40.8320995,-73.8380971,40.8320995,node,0,-1
12927,42728308,-73.8434556,40.8288959,-73.8434556,40.8288959,node,0,-1
12928,42728326,-73.8463635,40.829033,-73.8463635,40.829033,node,0,-1
12929,42728347,-73.8323808,40.8558167,-73.8323808,40.8558167,node,0,-1
12930,42728429,-73.8723831,40.8367007,-73.8723831,40.8367007,node,0,-1
12931,42728483,-73.8306639,40.8645298,-73.8306639,40.8645298,node,0,-1
12932,42728511,-73.8364645,40.8209875,-73.8364645,40.8209875,node,0,-1
12933,42728516,-73.8363821,40.8216972,-73.8363821,40.8216972,node,0,-1
12934,42728519,-73.836396,40.822409,-73.836396,40.822409,node,0,-1
12935,42728576,-73.9043369,40.9059775,-73.9043369,40.9059775,node,0,-1
12936,42728612,-73.846576,40.882211,-73.846576,40.882211,node,0,-1
12937,42728658,-73.9047133,40.901808,-73.9047133,40.901808,node,0,-1
12938,42728680,-73.8630145,40.8962735,-73.8630145,40.8962735,node,0,-1
12939,42728689,-73.8612043,40.8260866,-73.8612043,40.8260866,node,0,-1
12940,42728721,-73.91585,40.8037128,-73.91585,40.8037128,node,0,-1
12941,42728734,-73.9118438,40.8044365,-73.9118438,40.8044365,node,0,-1
12942,42728921,-73.9306114,40.8153306,-73.9306114,40.8153306,node,0,-1
12943,42728941,-73.8726348,40.8242082,-73.8726348,40.8242082,node,0,-1
12944,42728990,-73.8723341,40.8242516,-73.8723341,40.8242516,node,0,-1
12945,42729080,-73.8015795,40.8653278,-73.8015795,40.8653278,node,0,-1
12946,42729089,-73.9284927,40.8245711,-73.9284927,40.8245711,node,0,-1
12947,42729148,-73.8108294,40.8703375,-73.8108294,40.8703375,node,0,-1
12948,42729216,-73.8400071,40.8460202,-73.8400071,40.8460202,node,0,-1
12949,42729240,-73.8065023,40.8174959,-73.8065023,40.8174959,node,0,-1
12950,42729424,-73.8717546,40.8538922,-73.8717546,40.8538922,node,0,-1
12951,42729429,-73.9080791,40.8901982,-73.9080791,40.8901982,node,0,-1
12952,42729782,-73.7917267,40.8064666,-73.7917267,40.8064666,node,0,-1
12953,42729784,-73.7924962,40.8047726,-73.7924962,40.8047726,node,0,-1
12954,42729799,-73.891997,40.8458436,-73.891997,40.8458436,node,0,-1
12955,42729809,-73.891786,40.8457403,-73.891786,40.8457403,node,0,-1
12956,42729812,-73.8908806,40.8472489,-73.8908806,40.8472489,node,0,-1
12957,42729815,-73.8904096,40.8478477,-73.8904096,40.8478477,node,0,-1
12958,42729818,-73.889795,40.848608,-73.889795,40.848608,node,0,-1
12959,42729822,-73.889239,40.849472,-73.889239,40.849472,node,0,-1
12960,42729824,-73.8881021,40.8510099,-73.8881021,40.8510099,node,0,-1
12961,42729826,-73.88723,40.852488,-73.88723,40.852488,node,0,-1
12962,42729829,-73.886451,40.854041,-73.886451,40.854041,node,0,-1
12963,42729842,-73.8868679,40.854102,-73.8868679,40.854102,node,0,-1
12964,42729844,-73.886186,40.85487,-73.886186,40.85487,node,0,-1
12965,42729848,-73.885433,40.855759,-73.885433,40.855759,node,0,-1
12966,42729851,-73.884646,40.856695,-73.884646,40.856695,node,0,-1
12967,42729857,-73.8836137,40.8579285,-73.8836137,40.8579285,node,0,-1
12968,42729864,-73.8834023,40.8581882,-73.8834023,40.8581882,node,0,-1
12969,42729868,-73.8298599,40.8821753,-73.8298599,40.8821753,node,0,-1
12970,42729869,-73.8301498,40.8827022,-73.8301498,40.8827022,node,0,-1
12971,42729874,-73.8305752,40.8833748,-73.8305752,40.8833748,node,0,-1
12972,42729876,-73.8308163,40.8837784,-73.8308163,40.8837784,node,0,-1
12973,42729888,-73.8090511,40.824083,-73.8090511,40.824083,node,0,-1
12974,42729898,-73.809106,40.8246155,-73.809106,40.8246155,node,0,-1
12975,42729905,-73.8092779,40.8250118,-73.8092779,40.8250118,node,0,-1
12976,42729908,-73.80943,40.8251985,-73.80943,40.8251985,node,0,-1
12977,42729917,-73.7875366,40.8440323,-73.7875366,40.8440323,node,0,-1
12978,42729919,-73.7854351,40.8444412,-73.7854351,40.8444412,node,0,-1
12979,42729933,-73.906805,40.864426,-73.906805,40.864426,node,0,-1
12980,42729942,-73.904105,40.865745,-73.904105,40.865745,node,0,-1
12981,42729951,-73.831965,40.84214,-73.831965,40.84214,node,0,-1
12982,42729954,-73.8319976,40.8436378,-73.8319976,40.8436378,node,0,-1
12983,42729959,-73.831892,40.844381,-73.831892,40.844381,node,0,-1
12984,42729964,-73.831771,40.845311,-73.831771,40.845311,node,0,-1
12985,42729975,-73.8088127,40.8206561,-73.8088127,40.8206561,node,0,-1
12986,42729977,-73.808958,40.821588,-73.808958,40.821588,node,0,-1
12987,42729986,-73.8993507,40.8447389,-73.8993507,40.8447389,node,0,-1
12988,42729989,-73.8986642,40.8459588,-73.8986642,40.8459588,node,0,-1
12989,42729992,-73.8980594,40.8470333,-73.8980594,40.8470333,node,0,-1
12990,42729999,-73.8973362,40.8483183,-73.8973362,40.8483183,node,0,-1
12991,42730002,-73.8965896,40.8496449,-73.8965896,40.8496449,node,0,-1
12992,42730005,-73.895563,40.851469,-73.895563,40.851469,node,0,-1
12993,42730013,-73.895093,40.8523,-73.895093,40.8523,node,0,-1
12994,42730015,-73.894205,40.853855,-73.894205,40.853855,node,0,-1
12995,42730016,-73.893984,40.854247,-73.893984,40.854247,node,0,-1
12996,42730017,-73.893136,40.855244,-73.893136,40.855244,node,0,-1
12997,42730018,-73.89263,40.855823,-73.89263,40.855823,node,0,-1
12998,42730025,-73.892121,40.856404,-73.892121,40.856404,node,0,-1
12999,42730029,-73.891679,40.857001,-73.891679,40.857001,node,0,-1
13000,42730035,-73.8912672,40.8576139,-73.8912672,40.8576139,node,0,-1
13001,42730040,-73.891113,40.857851,-73.891113,40.857851,node,0,-1
13002,42730044,-73.890596,40.8584023,-73.890596,40.8584023,node,0,-1
13003,42730048,-73.889779,40.859353,-73.889779,40.859353,node,0,-1
13004,42730050,-73.8888826,40.8603849,-73.8888826,40.8603849,node,0,-1
